run_id,model_size,train_steps,seed,frac_duplicated,p_dup,dedup_type,embed_noncanonical,ppl,ppl_dedup_all,ppl_dedup_lower,ppl_dedup_plural,ppl_dedup_whitespace
gj72vya7,medium,913,0,0.0,,,False,,,,,
o4150u1i,medium,2190,0,0.0,,,False,,,,,
ayixx7cf,medium,4566,0,0.0,,,False,,,,,
h3fgcxe3,medium,9132,0,0.0,,,False,,,,,
4iyoblte,medium,18621,0,0.0,,,False,16.668696472785786,,,,
ahp7jndi,medium,19717,0,0.0,,,False,16.547500018412705,,,,
jgrhkbif,medium,20813,0,0.0,,,False,16.41642042650692,,,,
gq3xokdq,medium,21908,0,0.0,,lower,False,,,16.394114845874608,,
xuvgottb,medium,21908,0,0.0,,,False,16.27804429506235,,,,
wvq6kqx9,medium,21908,0,0.2,0.5,,False,16.361551101357666,,,,
7cfc86hj,medium,21908,0,0.3,0.5,,False,16.347198602910417,,,,
mbksy0v1,medium,21908,0,1.0,0.5,,False,16.741423481193394,,,,
6ak34mgn,medium,21908,2,0.5,0.5,,False,16.47020933093729,,,,
lqyob50h,small,913,0,0.0,,,False,78.98525178891676,,,,
i8c91m54,small,1826,0,0.0,,,False,48.35818867723705,,,,
cv4qj7bn,small,1826,0,1.0,0.5,,False,53.45014322376023,,,,
303j9p0o,small,1826,1,0.0,,,False,47.70781167839718,,,,
rw94r6tt,small,1826,2,0.0,,,False,47.6103080420098,,,,
uoxdkwam,small,3653,0,0.0,,,False,33.37194383321049,,,,
lxn1b2gf,small,3653,0,1.0,0.5,,False,35.47306740834414,,,,
b1z1b49t,small,3653,1,0.0,,,False,33.28875147361979,,,,
imu5up1j,small,3653,2,0.0,,,False,33.04661998077925,,,,
oadu7atq,small,5479,0,0.0,,,False,28.99580523198558,,,,
1z4pppen,small,5479,0,1.0,0.5,,False,30.48918025688318,,,,
4cpxzgc6,small,5479,1,0.0,,,False,29.025729201574592,,,,
cl92el0f,small,5479,2,0.0,,,False,28.873838131160525,,,,
y3l5dc0g,small,7306,0,0.0,,,False,26.773285545873012,,,,
lseqxwj6,small,7306,0,1.0,0.5,,False,27.85507837340458,,,,
gjtxqtv9,small,7306,1,0.0,,,False,26.81086824455719,,,,
d0nhqcjr,small,7306,2,0.0,,,False,26.558585091918843,,,,
qv2qpx8n,small,9132,0,0.0,,,False,25.30824044963043,,,,
4bzh7tia,small,9132,0,1.0,0.5,,False,26.320778211304525,,,,
ybv1gw9i,small,9132,1,0.0,,,False,25.426517879853275,,,,
l5h3arkz,small,9132,2,0.0,,,False,25.171850010967436,,,,
hdy070yh,small,10959,0,0.0,,,False,24.25984948083373,,,,
d8yfqddy,small,10959,0,1.0,0.5,,False,25.159231194538545,,,,
x2g92wxv,small,10959,1,0.0,,,False,24.25309509092014,,,,
tes3s65v,small,10959,2,0.0,,,False,24.05857937449773,,,,
z2l3u041,small,12785,0,0.0,,,False,23.50939907238715,,,,
aqp9jzn3,small,12785,1,0.0,,,False,23.54621218490143,,,,
tqfcf3b5,small,12785,2,0.0,,,False,23.396953291177088,,,,
hm86puhq,small,14612,0,0.0,,,False,22.89254874104095,,,,
npcierwj,small,14612,0,1.0,0.5,,False,23.66276867936018,,,,
zrnunxeh,small,14612,1,0.0,,,False,22.895991920629537,,,,
ecq8ggf4,small,14612,2,0.0,,,False,22.73865613739483,,,,
v1101p6o,small,15525,0,0.0,,,False,22.592324616334423,,,,
kha59ff8,small,16438,0,0.0,,,False,22.3472270457879,21.762161217093325,21.912526234618312,21.970960129070644,22.21047383171832
ka9huknb,small,16438,0,1.0,0.5,,False,23.077677261944313,,,,
qj7n4c7w,small,16438,1,0.0,,,False,22.39433712999838,,,,
rqcfp83c,small,16438,2,0.0,,,False,22.233092701397297,,,,
ncmm42vf,small,17351,0,0.0,,,False,22.13650527677625,21.559927750657213,21.70503244060888,21.76541918964725,22.00253865961748
zu0netsx,small,18265,0,0.0,,all,False,,22.116407796716285,,,
ha56f47s,small,18265,0,0.0,,lower,False,,,21.82460309974178,,
kfi8v29r,small,18265,0,0.0,,lower,True,,,21.43514175611253,,
1w1zplf3,small,18265,0,0.0,,lower_50%,False,,,21.67787451273621,,
yy4z6vpr,small,18265,0,0.0,,plural,False,,,,21.89382386584184,
0oa977pu,small,18265,0,0.0,,plural,True,,,,21.553864899991954,
rv05e06w,small,18265,0,0.0,,plural_50%,False,,,,21.71150903858903,
rmm5ufnw,small,18265,0,0.0,,whitespace,False,,,,,22.041298833877665
84xvrke3,small,18265,0,0.0,,whitespace,True,,,,,21.82533420593159
3wow9x6k,small,18265,0,0.0,,whitespace_50%,False,,,,,22.071076092116577
3jvt5rjo,small,18265,0,0.0,,,False,21.930433400503617,20.98933546735268,21.50612883694268,21.56475818935692,21.79844410306285
n6a4122x,small,18265,0,0.1,0.5,,False,22.077507837657016,,,,
tbptqq69,small,18265,0,0.2,0.5,,False,22.02541458938535,,,,
d9nct6b8,small,18265,0,0.3,0.5,,False,22.16707636228609,,,,
bcymkt0c,small,18265,0,0.4,0.5,,False,22.149717939400936,,,,
dpjniac4,small,18265,0,0.5,0.5,,False,22.261497725850212,,,,
9k4kiocj,small,18265,0,0.6,0.5,,False,22.309851673218898,,,,
8ijiarkp,small,18265,0,0.7,0.5,,False,22.375832543712388,,,,
nv3fnbab,small,18265,0,0.8,0.5,,False,22.411214705361267,,,,
i5u0g003,small,18265,0,0.9,0.5,,False,22.465701999029495,,,,
h6sf7vg1,small,18265,0,1.0,0.05,,False,22.351024959587455,,,,
99ww6blh,small,18265,0,1.0,0.1,,False,22.423081174873857,,,,
tp2n18h7,small,18265,0,1.0,0.2,,False,22.51208774217728,,,,
bbrwen0f,small,18265,0,1.0,0.3,,False,22.638466224623116,,,,
thl9532d,small,18265,0,1.0,0.4,,False,22.50105353228983,,,,
x9xu9gah,small,18265,0,1.0,0.5,,False,22.66386963511208,,,,
wzvffs32,small,18265,1,0.0,,all,False,,22.07999630900001,,,
n2qtgwex,small,18265,1,0.0,,lower,False,,,21.676323874013526,,
86exq6m6,small,18265,1,0.0,,lower,True,,,21.33201423008023,,
iuphpl68,small,18265,1,0.0,,plural,False,,,,21.78733393539879,
v9bd47nc,small,18265,1,0.0,,plural,True,,,,21.771214877520254,
k3d54a5g,small,18265,1,0.0,,whitespace,False,,,,,22.30385033309301
ozsrk2t5,small,18265,1,0.0,,whitespace,True,,,,,22.08361780547681
8w47vfai,small,18265,1,0.0,,,False,21.986275729446017,21.04181956318016,21.560687607759583,21.620189930886703,21.85360718402632
q7q1p1hf,small,18265,2,0.0,,all,False,,21.962183588483384,,,
jvov7xlu,small,18265,2,0.0,,lower,False,,,22.00025851529267,,
brwnu5qq,small,18265,2,0.0,,lower,True,,,21.412819117602325,,
wkarcg1s,small,18265,2,0.0,,plural,False,,,,21.673714512908777,
migufdvs,small,18265,2,0.0,,plural,True,,,,21.4434757190161,
vo82xfi5,small,18265,2,0.0,,whitespace,False,,,,,21.97569861874219
5bgmfm42,small,18265,2,0.0,,whitespace,True,,,,,21.734909055336125
xiutozhd,small,18265,2,0.0,,,False,21.726120670916476,20.799087841207815,21.3095089899002,21.3644635381463,21.596792844437324
ch40c2w6,small,18265,3,0.0,,all,False,,22.176693134591822,,,
bf83zb7z,small,18265,3,0.0,,lower,False,,,21.962467142396132,,
hsdkpgu5,small,18265,3,0.0,,lower,True,,,21.60889162273368,,
p0rz8g52,small,18265,3,0.0,,plural,False,,,,21.911249349382125,
bhy6rm97,small,18265,3,0.0,,plural,True,,,,21.60194059291578,
15dgxi7a,small,18265,3,0.0,,whitespace,False,,,,,22.256091844839055
q6wj0dyu,small,18265,3,0.0,,whitespace,True,,,,,22.035723436136095
aautd5zk,small,18265,3,0.0,,,False,21.99484699760917,21.054158435680115,21.57118540355303,21.62810528009443,21.864590926460803
fdxfc3g6,small,18265,4,0.0,,,False,21.996573933086093,21.05102161995354,21.573104907958864,21.628709048138177,21.862294562914972
hrjhqkyq,small,27397,0,0.0,,,False,20.990170431403488,,,,
5f2igxn4,small,27397,0,1.0,0.5,,False,21.116808785214182,,,,
rsbyp8td,small,36530,0,0.0,,,False,19.77742577662822,,,,
yfoj638y,small,36530,0,1.0,0.5,,False,20.261516249109416,,,,
pc53h2fw,small,54795,0,0.0,,,False,18.80632233689547,,,,
2bb3ppf8,small,54795,0,1.0,0.5,,False,19.282455392949363,,,,
rd4zb4p4,tiny,913,0,0.0,,,False,,,,,
8fix01b4,tiny,1826,0,0.0,,,False,,,,,
o82oorgt,tiny,4566,0,0.0,,,False,,,,,
asr71ez8,tiny,9132,0,0.0,,,False,,,,,
jq33d1e3,tiny,18265,0,0.0,,,False,,,,,
